gene	pfam	humanog	tf	Spis_alga-hosting_cells	Spis_gastrodermis	Xesp_alga-hosting_cells	Xesp_gastrodermis
Spis_XP_022792519_1	Collagen/Collagen/I-set/Ig_3/Ig_3/Fibrinogen_C/	Collagen.HG1.5:like:COLEC10/COLEC11/FCN1/FCN2/GLDN/MARCO/MBL2/MSR1/SCARA5/SFTPD:likeclu:2/7/9/12/13/15	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022808595_1	Collagen/I-set/Ig_3/Ig_3/Fibrinogen_C/	Collagen.HG1.5:like:COLEC10/COLEC11/FCN1/FCN2/GLDN/MARCO/MBL2/MSR1/SCARA5/SFTPD:likeclu:2/7/9/12/13/15	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022797545_1	PAS/PAS_11/HIF-1a_CTAD/	hypoxia_inducible_factor_1_subunit_alpha	FALSE	TRUE	FALSE	TRUE	TRUE
Spis_XP_022779001_1	Collagen/Collagen/	Collagen.HG3.13:NA	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022799093_1	GST_N_4/GST_C_6/	failed_axon_connections_homolog_metaxin_like_GST_domain_containing	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022781331_1	NAD_binding_10/	biliverdin_reductase_B	FALSE	TRUE	TRUE	TRUE	FALSE
Spis_XP_022791744_1	Cellulase/Glyco_hydro_5_C/	endoglycoceramidase-like	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022802528_1	Peptidase_S28/	dipeptidyl_peptidase_7	FALSE	TRUE	TRUE	TRUE	TRUE
Spis_XP_022788620_1	""	NUS1_dehydrodolichyl_diphosphate_synthase_subunit	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022804607_1	fn3/fn3/fn3/Bravo_FIGEY/	fibronectin.HG9.3:CHL1/L1CAM/NFASC/NRCAM	FALSE	TRUE	FALSE	TRUE	TRUE
Spis_XP_022795129_1	F-box-like/LRR_6/LRR_6/	F_box_and_leucine_rich_repeat_protein_20	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022784931_1	Glyco_hydro_30/Glyco_hydro_30C/	glucosylceramidase_beta	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022803758_1	MFS_2/	major_facilitator_superfamily_domain_containing_12	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022779650_1	Pribosyltran/	adenine_phosphoribosyltransferase	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022806437_1	Acyltransferase/	glyceronephosphate_O_acyltransferase	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022787073_1	Gln-synt_N/Gln-synt_C/	glutamate_ammonia_ligase	FALSE	TRUE	FALSE	TRUE	TRUE
Spis_XP_022787072_1	Gln-synt_N/Gln-synt_C/	glutamate_ammonia_ligase	FALSE	TRUE	TRUE	TRUE	TRUE
Spis_XP_022802981_1	Fascin/Fascin/Fascin/Fascin/	fascin_actin_bundling_protein_1	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022788125_1	adh_short/	sterol_dehydrogenase.HG4.0:DHRS3/HSD17B11/HSD17B13/RDH10/SDR16C5	FALSE	TRUE	FALSE	TRUE	FALSE
Spis_XP_022787747_1	Fz/Kringle/fn3/Pkinase_Tyr/	Pkinase.HG2.13:TEK/TIE1	FALSE	TRUE	TRUE	FALSE	TRUE
Spis_XP_022803448_1	Pkinase_Tyr/	Pkinase.HG47.0:NA	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022785215_1	DOT1/	DOT1.HG1.2:DOT1L	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022781553_1	""	""	FALSE	TRUE	TRUE	FALSE	TRUE
Spis_XP_022805106_1	F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/	EGF_like_repeats_and_discoidin_domains_3	FALSE	TRUE	TRUE	TRUE	TRUE
Spis_XP_022799213_1	Laminin_G_3/F5_F8_type_C/	milk_fat_globule_EGF_factor_8_protein	FALSE	TRUE	TRUE	TRUE	TRUE
Spis_XP_022784206_1	MFS_1/	Sugar_tr.HG5.1:NA	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022787995_1	adh_short/	sterol_dehydrogenase.HG3.5:like:DHRS9/HSD17B6/RDH5/RDH16/SDR9C7:likeclu:3	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022790488_1	Methyltransf_31/	arsenite_methyltransferase	FALSE	TRUE	FALSE	TRUE	FALSE
Spis_XP_022801567_1	zf-TRAF/	TNF_receptor_associated_factor_5	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022798588_1	I-set/Pkinase_Tyr/	Pkinase.HG14.10:PTK7	FALSE	TRUE	TRUE	FALSE	TRUE
Spis_XP_022789366_1	Acyltransferase/Acyltransf_C/	1_acylglycerol_3_phosphate_O_acyltransferase_4	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022792555_1	AMP-binding/	acyl_CoA_synthetase_long_chain_family_member_4	FALSE	TRUE	FALSE	TRUE	FALSE
Spis_XP_022808249_1	Folliculin/Folliculin_C/	folliculin	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022793504_1	Enolase_N/Enolase_C/	enolase_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022780718_1	adh_short/	sterol_dehydrogenase.HG17.0:DHRS12	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022793848_1	Tetraspanin/	tetraspanin_31	FALSE	TRUE	TRUE	TRUE	FALSE
Spis_XP_022800757_1	GATase_6/SIS/	glutamine_fructose_6_phosphate_transaminase_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022793714_1	Tmemb_55A/	phosphatidylinositol_4_5_bisphosphate_4_phosphatase_2	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022798049_1	vATP-synt_AC39/	ATPase_H_transporting_V0_subunit_d1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022796086_1	Snf7/	charged_multivesicular_body_protein_2A	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022804025_1	Vps26/	VPS26_retromer_complex_component_B	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022786688_1	Sacchrp_dh_NADP/	saccharopine_dehydrogenase_putative_	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022802656_1	LLGL/Lgl_C/	LLGL_scribble_cell_polarity_complex_component_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022780671_1	Glycogen_syn/	glycogen_synthase_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022784592_1	AIRS/AIRS_C/	selenophosphate_synthetase_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022780704_1	""	""	FALSE	TRUE	TRUE	FALSE	TRUE
Spis_XP_022782693_1	Ras/	Ras_homolog_mTORC1_binding	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022800981_1	IMPDH/CBS/	inosine_monophosphate_dehydrogenase_2	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022800195_1	Aconitase/Aconitase_C/	aconitase_1	FALSE	TRUE	FALSE	TRUE	FALSE
Spis_XP_022791206_1	TMEM192/	transmembrane_protein_192	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022804396_1	Steroid_dh/	trans_2_3_enoyl_CoA_reductase	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022810221_1	Gtr1_RagA/	Ras_related_GTP_binding_C	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022782256_1	NAD_binding_5/Inos-1-P_synth/	inositol_3_phosphate_synthase_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022779194_1	""	probable T4-type lysozyme 1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022800106_1	Lectin_leg-like/	lectin_mannose_binding_2	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022785850_1	GDP_Man_Dehyd/	steroid_dhiso.HG1.14:GALE	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022780983_1	ADH_N/ADH_zinc_N/	vesicle_amine_transport_1	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022800685_1	DEAD_2/Helicase_C_2/	DEAD_H_box_helicase_11	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022800644_1	CUB/FXa_inhibition/CUB/Sushi/Sushi/Trypsin/	mannan_binding_lectin_serine_peptidase_1	FALSE	TRUE	TRUE	TRUE	FALSE
Spis_XP_022805157_1	Tmemb_cc2/	transmembrane_and_coiled_coil_domain_family_2	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022798984_1	Hydant_A_N/Hydantoinase_A/Hydantoinase_B/	5_oxoprolinase_ATP_hydrolysing	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022788509_1	Cupin_8/	CupinJmjC.HG1.11:HSPBAP1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022799921_1	BTHB/FKBP_C/	FKBP_prolyl_isomerase_3	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022789318_1	Glyco_hydro_38N/Alpha-mann_mid/Glyco_hydro_38C/Glyco_hydro38C2/	mannosidase_alpha_class_2B_member_1	FALSE	TRUE	TRUE	TRUE	TRUE
Spis_XP_022800977_1	Longin/Synaptobrevin/	vesicle_associated_membrane_protein_7	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022784028_1	Ras/	RAB11A_member_RAS_oncogene_family	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022809387_1	Ldh_1_N/Ldh_1_C/	malate_dehydrogenase_1	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022786195_1	Mito_carr/Mito_carr/Mito_carr/	uncoupling_protein_2	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022784081_1	Aminotran_5/	phosphoserine_aminotransferase_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022800407_1	Peptidase_M28/	glutaminyl_peptide_cyclotransferase	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022785829_1	MIOX/	myo_inositol_oxygenase	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022801937_1	Ist1/	IST1_factor_associated_with_ESCRT_III	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022795915_1	NAAA-beta/CBAH/	N_acylsphingosine_amidohydrolase_1	FALSE	TRUE	FALSE	TRUE	FALSE
Spis_XP_022803551_1	Ras/	RAB7A_member_RAS_oncogene_family	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022805589_1	Sugar_tr/Sugar_tr/	Sugar_tr.HG3.4:SLC2A13	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022797490_1	Urocanase_N/Urocanase/Urocanase_C/	urocanate_hydratase_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022792354_1	Sema/PSI/TSP_1/TSP_1/	semaphorin_5A	FALSE	TRUE	TRUE	TRUE	FALSE
Spis_XP_022797564_1	Ras/	RAB5B_member_RAS_oncogene_family	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022797736_1	""	von_Willebrand_factor_A_domain_containing_7	FALSE	TRUE	TRUE	TRUE	TRUE
Spis_XP_022802236_1	""	""	FALSE	TRUE	TRUE	TRUE	TRUE
Spis_XP_022795093_1	HEPN_DZIP3/NACHT/	DAZ_interacting_zinc_finger_protein_3	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022783584_1	CD225/	proline_rich_transmembrane_protein_1	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022797122_1	SAM_PNT/	SAM.HG6.1:like:EHF/ELF3/ELF5/ERG/ETS1/ETS2/ETV6/ETV7/FLI1/GABPA/SAMD9/SPDEF:likeclu:2/4/5/6/7/8/10	FALSE	TRUE	TRUE	FALSE	TRUE
Spis_XP_022782567_1	Cpn10/	heat_shock_protein_family_E_Hsp10_member_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022788100_1	Ras/	RAB32_member_RAS_oncogene_family	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022792577_1	PTR2/	solute_carrier_family_15_member_4	FALSE	TRUE	FALSE	TRUE	TRUE
Spis_XP_022783052_1	""	""	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022786703_1	PLAT/Lipoxygenase/	arachidonate_5_lipoxygenase	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022786707_1	PLAT/Lipoxygenase/	arachidonate_5_lipoxygenase	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022782915_1	7tm_2/	GPCR-secretin.HG8.1:GPR157	FALSE	TRUE	FALSE	TRUE	FALSE
Spis_XP_022782681_1	7tm_2/	GPCR-secretin.HG8.1:GPR157	FALSE	TRUE	TRUE	TRUE	FALSE
Spis_XP_022789615_1	7tm_2/	GPCR-secretin.HG8.1:GPR157	FALSE	TRUE	FALSE	TRUE	FALSE
Spis_XP_022805241_1	GST_N/GST_C_3/GST_N/GST_C_3/GST_N/GST_C_3/	hematopoietic_prostaglandin_D_synthase	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022810230_1	Y_phosphatase/Y_phosphatase/Y_phosphatase/	protein_tyrosine_phosphatase_receptor_type_D	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022807892_1	eIF_4EBP/	eukaryotic_translation_initiation_factor_4E_binding_protein_2	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022784934_1	HIT/	histidine_triad_nucleotide_binding_protein_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022789935_1	L27/PDZ/SH3_2/Guanylate_kin/	Guanylate_kin.HG1.0:CASK/MPP1/MPP2/MPP6	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022785729_1	Ribosom_S12_S23/	ribosomal_protein_S23	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022800370_1	TMEM131_like/	transmembrane_protein_131	FALSE	TRUE	FALSE	TRUE	FALSE
Spis_XP_022805999_1	RRM_1/RRM_1/RRM_1/DND1_DSRM/	RRM.HG11.4:A1CF/RBM46/RBM47	FALSE	TRUE	TRUE	TRUE	TRUE
Spis_XP_022780877_1	Inhibitor_I29/Peptidase_C1/	cathepsin_V	FALSE	TRUE	TRUE	TRUE	TRUE
Spis_XP_022799019_1	Cystatin/Inhibitor_I29/Peptidase_C1/	cathepsin_F	FALSE	TRUE	TRUE	TRUE	FALSE
Spis_XP_022803459_1	""	maestro_heat_like_repeat_family_member_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022782282_1	Seipin/	BSCL2_lipid_droplet_biogenesis_associated_seipin	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022778027_1	UDPGP/	UDP_glucose_pyrophosphorylase_2	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022790266_1	Glyco_transf_8/	glycogenin_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022800919_1	Pkinase/	Pkinase.HG39.3:PRKX	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022779089_1	""	late_endosomal_lysosomal_adaptor_MAPK_and_MTOR_activator_4	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022806298_1	DUF2370/	Nedd4_family_interacting_protein_1	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022800957_1	LAMTOR/	late_endosomal_lysosomal_adaptor_MAPK_and_MTOR_activator_1	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022792191_1	START/	StAR_related_lipid_transfer_domain_containing_10	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022795196_1	WIF/Pkinase_Tyr/	Pkinase.HG8.5:like:RYK:likeclu:7	FALSE	TRUE	TRUE	FALSE	TRUE
Spis_XP_022791833_1	PSI_integrin/Integrin_beta/I-EGF_1/Integrin_b_cyt/	Integrin_beta.HG1.0:AC068234/ITGB1/ITGB2/ITGB3/ITGB4/ITGB5/ITGB6/ITGB7/ITGB8	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022797494_1	Peptidase_S9/	acylaminoacyl_peptide_hydrolase	FALSE	TRUE	FALSE	TRUE	FALSE
Spis_XP_022782153_1	Hexokinase_1/Hexokinase_2/	glucokinase	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022789215_1	MAPKK1_Int/	late_endosomal_lysosomal_adaptor_MAPK_and_MTOR_activator_3	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022802957_1	bZIP_2/	bZIP.CREBL2	TRUE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022779114_1	WW/WW/	Yes_associated_protein_1	FALSE	TRUE	TRUE	FALSE	TRUE
Spis_XP_022788809_1	VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/VWA/Kazal_2/VWA/VWA/Kazal_2/VWA/GON/VWA/Kazal_2/Kazal_2/Kazal_2/Kazal_2/Kazal_2/Kazal_2/Kazal_2/Kazal_2/Kazal_2/	agrin	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022796654_1	RRM_1/	RRM.HG2.10:RBM24/RBM38	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022791319_1	Glyco_hydro_47/	ER_degradation_enhancing_alpha_mannosidase_like_protein_2	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022786529_1	SNF/	solute_carrier_family_6_member_12	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022787118_1	MG3/MG4/A2M_BRD/A2M/TED_complement/A2M_recep/	C3_and_PZP_like_alpha_2_macroglobulin_domain_containing_8	FALSE	TRUE	TRUE	TRUE	TRUE
Spis_XP_022788977_1	MG1/MG2/MG3/MG4/A2M_BRD/A2M/TED_complement/A2M_recep/NTR/	complement_C3	FALSE	TRUE	TRUE	FALSE	TRUE
Spis_XP_022796235_1	AMP-binding/AMP-binding_C/	acyl_CoA_synthetase_short_chain_family_member_2	FALSE	TRUE	FALSE	TRUE	FALSE
Spis_XP_022807570_1	NIDO/AMOP/VWD/Sushi/Sushi/Sushi/Sushi/Sushi/Sushi/Sushi/Sushi/Sushi/Sushi/Sushi/Sushi/Sushi/	sushi_von_Willebrand_factor_type_A_EGF_and_pentraxin_domain_containing_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022786760_1	Pyrid_oxidase_2/	cellular_repressor_of_E1A_stimulated_genes_2	FALSE	TRUE	TRUE	TRUE	FALSE
Spis_XP_022804829_1	""	TNFAIP3-interacting protein 1-like	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022797646_1	Carn_acyltransf/	carnitine_O_acetyltransferase	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022800171_1	CARD/PDZ/PDZ/PDZ/Guanylate_kin/ZU5/UPA/	Guanylate_kin.HG2.0:AL358113/DLG5/TJP1/TJP2/TJP3	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022786491_1	BH4/Bcl-2/	BCL2_like_2	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022796487_1	MFS_1/	solute_carrier_family_16_member_8	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022803467_1	MFS_1/	solute_carrier_family_16_member_10	FALSE	TRUE	FALSE	FALSE	TRUE
Spis_XP_022791198_1	MFS_1/	solute_carrier_family_16_member_10	FALSE	TRUE	TRUE	TRUE	FALSE
Spis_XP_022792137_1	Ion_trans/	ion-NaKCa.HG10.4:like:KCNH2/KCNH6/KCNH7:likeclu:3	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022783918_1	Yippee-Mis18/	yippee_like_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022804697_1	CBM_48/Alpha-amylase/Alpha-amylase_C/	1_4_alpha_glucan_branching_enzyme_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022796529_1	malic/Malic_M/	malic_enzyme_3	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022790912_1	Sulfatase/Sulfatase_C/	steroid_sulfatase	FALSE	TRUE	FALSE	TRUE	FALSE
Spis_XP_022782354_1	UBA_4/	UBA_like_domain_containing_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022796037_1	SUI1/	eukaryotic_translation_initiation_factor_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022802222_1	""	""	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022808925_1	TLD/	""	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022808998_1	TLD/TLD/	""	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022810276_1	Lectin_C/EGF_CA/TLD/	Lectin_C.HG4.2:NA	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022777477_1	TLD/	TLD domain-containing protein 1-like	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022792185_1	Collagen/I-set/Ig_3/Ig_3/	Collagen.HG1.1:like:COLEC10/COLEC11/GLDN:likeclu:7/9	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022783157_1	Voltage_CLC/CBS/	chloride_voltage_gated_channel_7	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022793199_1	""	""	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022787233_1	Pkinase_Tyr/	Pkinase.HG63.0:DSTYK	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022794967_1	PH/	CNK3_IPCEF1_fusion_protein_	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022803526_1	Abhydro_lipase/	lipase_F_gastric_type	FALSE	TRUE	TRUE	FALSE	TRUE
Spis_XP_022802724_1	Abhydrolase_1/	lipase_A_lysosomal_acid_type	FALSE	TRUE	TRUE	FALSE	TRUE
Spis_XP_022780727_1	Abhydro_lipase/	lipase_family_member_K	FALSE	TRUE	TRUE	TRUE	FALSE
Spis_XP_022790634_1	SET/	SET.HG1.2:SMYD4	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022807789_1	Ig_3/Ig_3/Ig_3/Ig_3/Pkinase_Tyr/	Pkinase.HG35.4:AC058822/CSF1R/FLT1/FLT3/FLT4/KDR/KIT/PDGFRA/PDGFRB	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022781602_1	Ig_3/Pkinase_Tyr/	Pkinase.HG2.12:FGFR1/FGFR2/FGFR3/FGFR4	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022795564_1	EF-hand_like/PI-PLC-X/PI-PLC-Y/C2/	phospholipase_C_eta_2	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022793260_1	WD40/WD40/WD40/	WD_repeat_domain_70	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022791168_1	CRT-like/	crt homolog 2-like	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022795556_1	Ammonium_transp/	Rh_family_C_glycoprotein	FALSE	TRUE	FALSE	TRUE	TRUE
Spis_XP_022795558_1	Ammonium_transp/	Rh_family_B_glycoprotein_gene_pseudogene_	FALSE	TRUE	TRUE	TRUE	TRUE
Spis_XP_022782720_1	Granulin/Granulin/	granulin_precursor	FALSE	TRUE	FALSE	TRUE	FALSE
Spis_XP_022786134_1	Ras/	RAS_related_2	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022791196_1	RasGAP/RasGAP_C/	RasGAP.HG2.0:like:IQGAP1/IQGAP2/IQGAP3:likeclu:1	FALSE	TRUE	FALSE	TRUE	FALSE
Spis23427_1	TPR_12/TPR_12/TPR_12/TPR_10/	""	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022808569_1	Peptidase_S28/	serine_protease_16	FALSE	TRUE	FALSE	TRUE	TRUE
Spis_XP_022807113_1	MACPF/	macrophage_expressed_1	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022789834_1	""	""	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022785636_1	Folate_rec/	folate_receptor_gamma	FALSE	TRUE	FALSE	TRUE	FALSE
Spis_XP_022801987_1	ABC_membrane/ABC_tran/ABC_membrane/ABC_tran/	ATP_binding_cassette_subfamily_C_member_1	FALSE	TRUE	FALSE	TRUE	TRUE
Spis_XP_022803527_1	BSD/	BSD_domain_containing_1	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022781576_1	Tropomyosin/	tropomyosin alpha-4 chain-like	FALSE	TRUE	FALSE	TRUE	TRUE
Spis_XP_022793430_1	G_glu_transpept/	gamma_glutamyltransferase_1	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022787609_1	FGF/	FGF.HG1.4:like:FGF8/FGF17/FGF18:likeclu:34	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022780918_1	""	follistatin-related protein 4-like	FALSE	TRUE	TRUE	FALSE	FALSE
Spis_XP_022789430_1	Metallophos/Metallophos_C/	acid_phosphatase_7_tartrate_resistant_putative_	FALSE	TRUE	FALSE	FALSE	FALSE
Spis_XP_022782661_1	zf-CHY/	""	FALSE	TRUE	TRUE	FALSE	FALSE
