group	gene	pfam	humanog	tf
Spis_gland_4	Spis_XP_022779142_1	DUF4498/	cilia_and_flagella_associated_protein_300	FALSE
Spis_gland_4	Spis_XP_022780047_1	MMS1_N/CPSF_A/	damage_specific_DNA_binding_protein_1	FALSE
Spis_gland_4	Spis_XP_022788534_1	TIMELESS/TIMELESS_C/	timeless_circadian_regulator	FALSE
Spis_gland_4	Spis_XP_022784219_1	ATG101/	autophagy_related_101	FALSE
Spis_gland_4	Spis_XP_022788155_1	""	penta_EF_hand_domain_containing_1	FALSE
Spis_gland_4	Spis_XP_022791773_1	Trypsin/	chymotrypsin_like_elastase_2A	FALSE
Spis_gland_4	Spis_XP_022806411_1	Trypsin/	plasminogen	FALSE
Spis_gland_4	Spis_XP_022780694_1	Trypsin/	serine_protease_8	FALSE
Spis_gland_4	Spis_XP_022803815_1	Trypsin/ShK/	chymotrypsin_like	FALSE
Spis_gland_4	Spis_XP_022804537_1	Trypsin/	chymotrypsinogen_B2	FALSE
Spis_gland_4	Spis_XP_022805835_1	XPG_N/XPG_I/	ERCC_excision_repair_5_endonuclease	FALSE
Spis_gland_4	Spis_XP_022793311_1	TraB/	TraB_domain_containing_2A	FALSE
Spis_gland_4	Spis_XP_022800508_1	Pyr_redox_2/Pyr_redox_dim/	dihydrolipoamide_dehydrogenase	FALSE
Spis_gland_4	Spis_XP_022805362_1	Endonuclease_NS/	endonuclease_G	FALSE
Spis_gland_4	Spis_XP_022790351_1	Porphobil_deam/Porphobil_deamC/	hydroxymethylbilane_synthase	FALSE
Spis_gland_4	Spis_XP_022799060_1	fn3/fn3/Pkinase_Tyr/	fibronectin.HG4.30:like:ELSPBP1:likeclu:0	FALSE
Spis_gland_4	Spis_XP_022784868_1	Pkinase_Tyr/	Pkinase.HG4.1:NA	FALSE
Spis_gland_4	Spis_XP_022795047_1	Lectin_C/Pkinase_Tyr/	Pkinase.HG4.1:NA	FALSE
Spis_gland_4	Spis_XP_022795036_1	Pkinase_Tyr/Pkinase_Tyr/	Pkinase.HG4.1:NA	FALSE
Spis_gland_4	Spis_XP_022782044_1	DHC_N2/AAA_6/Dynein_AAA_lid/AAA_7/AAA_lid_1/AAA_8/MT/AAA_9/Dynein_heavy/AAA_lid_11/Dynein_C/	dynein_axonemal_heavy_chain_3	FALSE
Spis_gland_4	Spis_XP_022778791_1	RasGEF/	Ral_GEF_with_PH_domain_and_SH3_binding_motif_2	FALSE
Spis_gland_4	Spis_XP_022786342_1	MBOAT/	membrane_bound_O_acyltransferase_domain_containing_2	FALSE
Spis_gland_4	Spis_XP_022799675_1	SWIRM/Amino_oxidase/	SWIRM.HG2.0:like:KDM1A:likeclu:1	FALSE
Spis_gland_4	Spis_XP_022807055_1	RA/RA/DAGK_cat/DAGK_acc/	diacylglycerol_kinase_theta	FALSE
Spis_gland_4	Spis_XP_022788353_1	""	""	FALSE
Spis_gland_4	Spis_XP_022779854_1	Ost5/	transmembrane_protein_258	FALSE
Spis_gland_4	Spis_XP_022795432_1	Ribosomal_S8/	ribosomal_protein_S15a	FALSE
Spis_gland_4	Spis_XP_022780362_1	zf-C2H2/zf-C2H2/zf-C2H2/	zinc_finger_protein_236	FALSE
Spis_gland_4	Spis_XP_022809951_1	OATP/	solute_carrier_organic_anion_transporter_family_member_4C1	FALSE
Spis_gland_4	Spis_XP_022789215_1	MAPKK1_Int/	late_endosomal_lysosomal_adaptor_MAPK_and_MTOR_activator_3	FALSE
Spis_gland_4	Spis_XP_022780870_1	RRM_1/RRM_1/	RRM.HG1.18:MSI1/MSI2	FALSE
Spis_gland_4	Spis_XP_022791602_1	DegT_DnrJ_EryC1/	""	FALSE
Spis_gland_4	Spis_XP_022782990_1	MFS_1/	solute_carrier_family_16_member_10	FALSE
Spis_gland_4	Spis_XP_022785742_1	zf-Tim10_DDP/	translocase_of_inner_mitochondrial_membrane_10B	FALSE
Spis_gland_4	Spis_XP_022806326_1	Zona_pellucida/	CUB_and_zona_pellucida_like_domains_1	FALSE
Spis_gland_4	Spis_XP_022787527_1	7tm_1/	GPCR-rhodopsin.HG3.90:NA	FALSE
Spis_gland_4	Spis_XP_022802096_1	DUF2615/	small_integral_membrane_protein_14	FALSE
Spis_gland_4	Spis_XP_022790685_1	Astacin/TSP_1/MAM/	meprin_A_subunit_beta	FALSE
Spis_gland_4	Spis_XP_022801095_1	TSP_1/TSP_1/TSP_1/TSP_1/	hemicentin_1	FALSE
Spis_gland_4	Spis21895_1	Collagen/	Collagen.HG9.0:NA	FALSE
Spis_gland_4	Spis_XP_022777425_1	Rho_N/Endonuclease_7/	""	FALSE
Spis_gland_4	Spis12393_1	Endonuclease_7/	""	FALSE
Spis_gland_4	Spis_XP_022798021_1	""	""	FALSE
Spis_gland_4	Spis_XP_022796769_1	EGF/EGF/Pentaxin/	neuronal_pentraxin_2	FALSE
Spis_gland_4	Spis_XP_022803245_1	BTB_2/	potassium_channel_tetramerization_domain_containing_8	FALSE
Spis_gland_4	Spis_XP_022795555_1	Ammonium_transp/	Rh_family_C_glycoprotein	FALSE
Spis_gland_4	Spis_XP_022795556_1	Ammonium_transp/	Rh_family_C_glycoprotein	FALSE
Spis_gland_4	Spis_XP_022801208_1	EGF/	heart_development_protein_with_EGF_like_domains_1	FALSE
Spis_gland_4	Spis_XP_022781023_1	TPX2_importin/TPX2/	TPX2_microtubule_nucleation_factor	FALSE
Spis_gland_4	Spis_XP_022793859_1	fn3/fn3/fn3/fn3/fn3/Ion_trans_2/	ion-NaKCa.HG3.21:NA	FALSE
Spis_gland_4	Spis_XP_022802828_1	Astacin/ShK/	meprin_A_subunit_alpha	FALSE
Spis_gland_4	Spis_XP_022781722_1	fn3_4/	activating_transcription_factor_7_interacting_protein	FALSE
Spis_gland_4	Spis_XP_022805023_1	wnt/	wnt.HG1.10:like:WNT1/WNT2/WNT2B/WNT3/WNT3A/WNT4/WNT5A/WNT5B/WNT6/WNT7A/WNT7B/WNT16:likeclu:12/13/17/18/19/20/22/23	FALSE
Spis_gland_4	Spis_XP_022781610_1	CAP_GLY/Dynactin/	dynactin_subunit_1	FALSE
Spis_gland_4	Spis_XP_022792970_1	C2/FerI/C2/FerA/FerB/C2/C2/C2/C2/Ferlin_C/	Synaptotagmin.HG3.2:DYSF/MYOF	FALSE
Spis_gland_4	Spis_XP_022792965_1	FerI/C2/C2/	dysferlin	FALSE
Spis_gland_4	Spis_XP_022799635_1	""	""	FALSE
Spis_gland_4	Spis_XP_022790611_1	Cation_ATPase_N/E1-E2_ATPase/Cation_ATPase/Hydrolase_3/Cation_ATPase_C/	PMCA.HG2.3:ATP2A1/ATP2A2/ATP2A3	FALSE
Spis_gland_4	Spis_XP_022804640_1	""	""	FALSE
Spis_gland_4	Spis_XP_022779252_1	VWA/Collagen/Collagen/Collagen/	Collagen.HG2.18:COL21A1/COL28A1	FALSE
Spis_gland_4	Spis_XP_022803563_1	DAP3/	death_associated_protein_3	FALSE
Spis_gland_4	Spis_XP_022796779_1	""	coiled-coil domain-containing protein 18-like isoform X2	FALSE
Spis_gland_4	Spis_XP_022803048_1	Neur_chan_LBD/Neur_chan_memb/	ion-neuro-gated.HG1.3:AC243734/AC254952/CHRFAM7A/CHRNA1/CHRNA2/CHRNA3/CHRNA4/CHRNA5/CHRNA6/CHRNA7/CHRNB1/CHRNB2/CHRNB3/CHRNB4/CHRND/CHRNE/CHRNG	FALSE
Spis_gland_4	Spis_XP_022803045_1	Neur_chan_LBD/Neur_chan_memb/	ion-neuro-gated.HG1.3:AC243734/AC254952/CHRFAM7A/CHRNA1/CHRNA2/CHRNA3/CHRNA4/CHRNA5/CHRNA6/CHRNA7/CHRNB1/CHRNB2/CHRNB3/CHRNB4/CHRND/CHRNE/CHRNG	FALSE
Spis_gland_4	Spis_XP_022803031_1	KH_1/KH_1/	KH.HG4.1:NA	FALSE
Spis_gland_4	Spis_XP_022803030_1	KH_1/KH_1/	KH.HG4.1:NA	FALSE
Spis_gland_4	Spis_XP_022803034_1	KH_1/	KH.HG4.1:NA	FALSE
Spis_gland_4	Spis_XP_022799145_1	Thioredoxin/Thioredoxin_6/Thioredoxin/	prolyl_4_hydroxylase_subunit_beta	FALSE
Spis_gland_4	Spis_XP_022807900_1	Fer2/Fer2_2/FAD_binding_5/CO_deh_flav_C/Ald_Xan_dh_C/Ald_Xan_dh_C2/	xanthine_dehydrogenase	FALSE
Spis_gland_4	Spis_XP_022810566_1	START/START/	StAR_related_lipid_transfer_domain_containing_10	FALSE
Spis_gland_4	Spis_XP_022781853_1	Kinesin/Kinesin_assoc/Kinesin_assoc/FHA/KIF1B/DUF3694/	kinesin_family_member_1A	FALSE
Spis_gland_4	Spis_XP_022799133_1	PQQ_2/Pkinase/	Pkinase.HG66.6:ERN1/ERN2	FALSE
Spis_gland_4	Spis_XP_022781858_1	A_deaminase/	adenosine_deaminase_like	FALSE
Spis_gland_4	Spis_XP_022803126_1	Ig_3/Ig_3/Ig_3/Ig_3/	hemicentin_1	FALSE
Spis_gland_4	Spis_XP_022805609_1	ShK/ShK/ShK/ShK/	""	FALSE
Spis_gland_4	Spis_XP_022784583_1	p450/	CYP.HG6.0:CYP19A1/CYP4V2	FALSE
Spis_gland_4	Spis_XP_022805328_1	""	coiled_coil_domain_containing_148	FALSE
Spis_gland_4	Spis_XP_022779652_1	SNF/	solute_carrier_family_6_member_19	FALSE
Spis_gland_4	Spis_XP_022782237_1	ACAS_N/AMP-binding/AMP-binding_C/	acyl_CoA_synthetase_short_chain_family_member_1	FALSE
Spis_gland_4	Spis_XP_022802226_1	""	""	FALSE
Spis_gland_4	Spis_XP_022802232_1	""	""	FALSE
Spis_gland_4	Spis_XP_022791037_1	IRF-2BP1_2/	interferon_regulatory_factor_2_binding_protein_like	FALSE
Spis_gland_4	Spis_XP_022794275_1	SET/	SET.HG2.0:KMT5A	FALSE
Spis_gland_4	Spis_XP_022786521_1	PTPlike_phytase/PTPlike_phytase/	phosphatase_domain_containing_paladin_1	FALSE
Spis_gland_4	Spis_XP_022781291_1	PDZ/ASD2/	PDZ.HG4.3:SHROOM2/SHROOM3/SHROOM4	FALSE
Spis_gland_4	Spis_XP_022807435_1	zf-U11-48K/zf-U11-48K/	gametocyte_specific_factor_1	FALSE
Spis_gland_4	Spis_XP_022787887_1	""	""	FALSE
Spis_gland_4	Spis_XP_022780285_1	Laminin_N/Laminin_EGF/Laminin_EGF/Laminin_EGF/NTR/	Laminin.HG10.0:NTN1/NTN3	FALSE
Spis_gland_4	Spis_XP_022783925_1	Sortilin-Vps10/Sortilin_C/	sortilin_1	FALSE
Spis_gland_4	Spis_XP_022794326_1	""	golgin subfamily A member 4-like	FALSE
Spis_gland_4	Spis_XP_022781561_1	ADH_N/ADH_zinc_N/	mitochondrial_trans_2_enoyl_CoA_reductase	FALSE
Spis_gland_4	Spis_XP_022779358_1	C2/C2/	Synaptotagmin.HG1.47:like:SYT1/SYT2/SYT3/SYT4/SYT5/SYT6/SYT7/SYT8/SYT9/SYT10/SYT11/SYT12/SYT13/SYT17:likeclu:25/30/31/36/38/40/41	FALSE
Spis_gland_4	Spis_XP_022796569_1	Peptidase_M19/	dipeptidase_1	FALSE
Spis_gland_4	Spis_XP_022779274_1	WD40/WD40/WD40/WD40/WD40/WD40/	sperm_associated_antigen_16	FALSE
Spis_gland_4	Spis_XP_022806762_1	WD40/WD40/WD40/Utp21/	WD_repeat_domain_36	FALSE
Spis_gland_4	Spis_XP_022804691_1	CNH/Vps39_1/Vps39_2/	Citron.HG6.0:TGFBRAP1	FALSE
Spis_gland_4	Spis_XP_022796454_1	ABC_membrane/ABC_tran/ABC_membrane/ABC_tran/	ATP_binding_cassette_subfamily_B_member_1	FALSE
Spis_gland_4	Spis_XP_022804510_1	Myotub-related/	myotubularin_related_protein_9	FALSE
Spis_gland_4	Spis_XP_022796251_1	zf-UBP/UCH/UBA/UBA/	ubiquitin_specific_peptidase_5	FALSE
Spis_gland_4	Spis_XP_022803308_1	F5_F8_type_C/cEGF/cEGF/FXa_inhibition/EGF_CA/cEGF/cEGF/FXa_inhibition/EGF_CA/Sushi/HYR/Ephrin_rec_like/Ephrin_rec_like/	sushi_von_Willebrand_factor_type_A_EGF_and_pentraxin_domain_containing_1	FALSE
Spis_gland_4	Spis_XP_022808911_1	HSP70/	heat_shock_protein_family_A_Hsp70_member_5	FALSE
Spis_gland_4	Spis_XP_022798445_1	RGS/	RGS.HG1.8:like:RGS17/RGS19/RGS20:likeclu:9	FALSE
Spis_gland_4	Spis_XP_022802622_1	Spond_N/	spondin_1	FALSE
Spis_gland_4	Spis_XP_022788344_1	Dpy19/	dpy_19_like_C_mannosyltransferase_1	FALSE
Spis_gland_4	Spis_XP_022781334_1	WD40/WD40/	WD_and_tetratricopeptide_repeats_1	FALSE
Spis_gland_4	Spis_XP_022783475_1	EF-hand_7/EF-hand_7/	centrin_3	FALSE
Spis_gland_4	Spis_XP_022791497_1	""	""	FALSE
Spis_gland_4	Spis_XP_022781899_1	Cyclin_N/Cyclin_C/	cyclin_B2	FALSE
Spis_gland_4	Spis_XP_022810401_1	zf-A20/DUF5601/VPS9/	RAB_guanine_nucleotide_exchange_factor_1	FALSE
Spis_gland_4	Spis_XP_022792496_1	""	""	FALSE
Spis_gland_4	Spis_XP_022808033_1	""	""	FALSE
Spis_gland_4	Spis_XP_022796442_1	WD40/WD40/WD40/	WD_repeat_domain_82	FALSE
Spis_gland_4	Spis_XP_022781374_1	WD40/WD40/	nucleoporin_43	FALSE
Spis_gland_4	Spis_XP_022807089_1	MCRS_N/FHA/	microspherule_protein_1	FALSE
Spis_gland_4	Spis_XP_022795417_1	PX/	sorting_nexin_8	FALSE
Spis_gland_4	Spis_XP_022786857_1	Carb_anhydrase/Carb_anhydrase/	carbonic_anhydrase_1	FALSE
Spis_gland_4	Spis_XP_022790980_1	Carb_anhydrase/	carbonic_anhydrase_2	FALSE
Spis_gland_4	Spis_XP_022806203_1	PAN_1/Fibrinogen_C/	intelectin_1	FALSE
Spis_gland_4	Spis_XP_022806202_1	PAN_1/Fibrinogen_C/	intelectin_1	FALSE
Spis_gland_4	Spis_XP_022806491_1	Transglut_N/Transglut_core/Transglut_C/	transglutaminase_1	FALSE
Spis_gland_4	Spis_XP_022794286_1	FAM124/	family_with_sequence_similarity_124_member_A	FALSE
Spis_gland_4	Spis_XP_022804755_1	Thioredoxin_6/Thioredoxin/Thioredoxin_6/	thioredoxin_domain_containing_16	FALSE
Spis_gland_4	Spis_XP_022790818_1	RUN/PX/	sorting_nexin_29	FALSE
Spis_gland_4	Spis_XP_022808147_1	SEA/SEA/GON/	""	FALSE
Spis_gland_4	Spis_XP_022802571_1	LRR_6/LRR_6/LRR_6/	NLR_family_pyrin_domain_containing_14	FALSE
Spis_gland_4	Spis_XP_022799668_1	Glutaredoxin/DEP/DUF547/	thioredoxin_reductase_3	FALSE
Spis_gland_4	Spis_XP_022803415_1	PDZ/Sec7/PH_9/	pleckstrin_and_Sec7_domain_containing_3	FALSE
Spis_gland_4	Spis_XP_022798007_1	C2/C2/	Synaptotagmin.HG1.29:like:FO681492/SYT15:likeclu:34	FALSE
Spis_gland_4	Spis_XP_022788059_1	""	""	FALSE
Spis_gland_4	Spis_XP_022786866_1	""	AT_hook_transcription_factor	FALSE
Spis_gland_4	Spis_XP_022801598_1	""	""	FALSE
Spis_gland_4	Spis_XP_022802772_1	""	""	FALSE
Spis_gland_4	Spis_XP_022796012_1	""	""	FALSE
Spis_gland_4	Spis_XP_022790327_1	""	coiled_coil_helix_coiled_coil_helix_domain_containing_1	FALSE
Spis_gland_4	Spis_XP_022795316_1	""	""	FALSE
Spis_gland_4	Spis_XP_022806141_1	""	""	FALSE
Spis_gland_4	Spis_XP_022799822_1	""	glutamic acid-rich protein-like	FALSE
Spis_gland_4	Spis_XP_022798850_1	TMEM234/	transmembrane_protein_234	FALSE
Spis_gland_4	Spis_XP_022786773_1	""	armadillo_repeat_containing_1	FALSE
Spis_gland_4	Spis_XP_022785575_1	""	""	FALSE
Spis_gland_4	Spis_XP_022795371_1	""	""	FALSE
Spis_gland_4	Spis_XP_022782245_1	Acyl-CoA_dh_M/Acyl-CoA_dh_1/ACOX/	acyl_CoA_oxidase_3_pristanoyl	FALSE
Spis_gland_4	Spis_XP_022810374_1	""	LOW QUALITY PROTEIN: bifunctional TH2 protein, mitochondrial-like	FALSE
Spis_gland_9	Spis_XP_022788776_1	P53/	P53.like:TP53/TP63/TP73	TRUE
Spis_gland_9	Spis_XP_022803676_1	DEAD/Helicase_C/GUCT/	DEAD.HG15.2:DDX21/DDX50	FALSE
Spis_gland_9	Spis_XP_022801974_1	Sin_N/	RNA_polymerase_III_subunit_E	FALSE
Spis_gland_9	Spis_XP_022781339_1	WD40/WD40/WD40/	chromatin_assembly_factor_1_subunit_B	FALSE
Spis_gland_9	Spis_XP_022801936_1	DUF4515/	basal_body_orientation_factor_1	FALSE
Spis_gland_9	Spis_XP_022795270_1	Cupin_8/	CupinJmjC.HG8.1:NA	FALSE
Spis_gland_9	Spis_XP_022792199_1	Neur_chan_LBD/Neur_chan_memb/	ion-neuro-gated.HG2.6:like:GABRA1/GABRA2/GABRA3/GABRA4/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRD/GABRE/GABRG1/GABRG2/GABRG3/GABRP/GABRQ/GABRR1/GABRR2/GABRR3:likeclu:14/15	FALSE
Spis_gland_9	Spis_XP_022798878_1	GIDE/zf-C3HC4_3/	mitochondrial_E3_ubiquitin_protein_ligase_1	FALSE
Spis_gland_9	Spis_XP_022806327_1	VKG_Carbox/	gamma_glutamyl_carboxylase	FALSE
Spis_gland_9	Spis_XP_022789629_1	EF-hand_5/EF-hand_7/EF-hand_7/	calumenin	FALSE
Spis_gland_9	Spis_XP_022781815_1	""	centrosomal_protein_85	FALSE
Spis_gland_9	Spis_XP_022784085_1	Pro_isomerase/	peptidylprolyl_isomerase_B	FALSE
Spis_gland_9	Spis_XP_022801239_1	EGF_CA/EGF_CA/I-set/EGF_CA/EGF_CA/EGF_CA/	leucine_rich_repeats_and_immunoglobulin_like_domains_1	FALSE
Spis_gland_9	Spis_XP_022789186_1	RasGEF_N/PDZ/RA/RasGEF/	PDZ.HG5.8:AC008695/RAPGEF2/RAPGEF6	FALSE
Spis_gland_9	Spis_XP_022795605_1	zf-Tim10_DDP/	translocase_of_inner_mitochondrial_membrane_13	FALSE
Spis_gland_9	Spis_XP_022802681_1	UQ_con/	AKT_interacting_protein	FALSE
Spis_gland_9	Spis_XP_022782597_1	KOW/Ribosomal_L27e/	ribosomal_protein_L27	FALSE
Spis_gland_9	Spis_XP_022808229_1	Med22/	mediator_complex_subunit_22	FALSE
Spis_gland_9	Spis_XP_022802670_1	Njmu-R1/	chromosome_17_open_reading_frame_75	FALSE
Spis_gland_9	Spis_XP_022786898_1	SURF4/	surfeit_4	FALSE
Spis_gland_9	Spis_XP_022783725_1	DEAD/Helicase_C/HA2/OB_NTP_bind/	DEAD.HG2.0:like:DHX9/DHX29/DHX30/DHX36/DHX57/TDRD9/YTHDC2:likeclu:4/6/8/11/12/13/14	FALSE
Spis_gland_9	Spis_XP_022795764_1	LSM/	LSM.HG10.0:LSM7	FALSE
Spis_gland_9	Spis_XP_022798777_1	Cupin_8/	CupinJmjC.HG3.0:NA	FALSE
Spis_gland_9	Spis_XP_022781464_1	DHC_N1/DHC_N2/AAA_6/Dynein_AAA_lid/AAA_7/AAA_lid_1/AAA_8/MT/AAA_9/Dynein_heavy/AAA_lid_11/Dynein_C/	dynein_axonemal_heavy_chain_10	FALSE
Spis_gland_9	Spis_XP_022781929_1	TRAP_beta/	signal_sequence_receptor_subunit_2	FALSE
Spis_gland_9	Spis_XP_022788069_1	zf-RING_2/	synoviolin_1	FALSE
Spis_gland_9	Spis_XP_022807900_1	Fer2/Fer2_2/FAD_binding_5/CO_deh_flav_C/Ald_Xan_dh_C/Ald_Xan_dh_C2/	xanthine_dehydrogenase	FALSE
Spis_gland_9	Spis_XP_022783412_1	DHC_N1/DHC_N1/DHC_N2/AAA_6/AAA_6/Dynein_AAA_lid/AAA_7/AAA_lid_1/AAA_8/AAA_9/Dynein_heavy/AAA_lid_11/Dynein_C/	dynein_axonemal_heavy_chain_8	FALSE
Spis_gland_9	Spis_XP_022797385_1	DUF2678/	transmembrane_protein_243	FALSE
Spis_gland_9	Spis_XP_022794071_1	EF-hand_7/	allograft_inflammatory_factor_1	FALSE
Spis_neuron_13	Spis_XP_022794923_1	zf-C4/Hormone_recep/	zf-C4_Nuclear_receptors.NR2E1/NR2E3	TRUE
Spis_neuron_13	Spis_XP_022791197_1	HMG_box/SOXp/	HMGbox_Sox.SOX1/SOX15/SOX2/SOX3/SRY	TRUE
Spis_neuron_13	Spis_XP_022799818_1	AbfB/	""	FALSE
Spis_neuron_13	Spis_XP_022783988_1	Ank_2/Ank_2/Ank/	retinoic_acid_induced_14	FALSE
Spis_neuron_13	Spis_XP_022780118_1	""	""	FALSE
Spis_neuron_13	Spis_XP_022798309_1	MOR2-PAG1_N/MOR2-PAG1_mid/MOR2-PAG1_mid/MOR2-PAG1_mid/MOR2-PAG1_mid/MOR2-PAG1_C/	FRY_like_transcription_coactivator	FALSE
Spis_neuron_13	Spis_XP_022786478_1	""	cilia_and_flagella_associated_protein_157	FALSE
